nID;nID_Service;nID_City;nID_Region;nID_ServiceType;oData;sURL;bHidden;nID_Subject_Operator;bTest;sNote;asAuth;nID_Place;nID_Server
923;25;503;;4;"{""processDefinitionId"":""dnepr_dms-280ID:1:1""}";;false;205;false;;BankID,EDS;503;0
924;175;503;;4;"{""processDefinitionId"":""dnepr_dms-257ID:1:1""}";;false;205;false;;BankID,EDS;503;0
925;174;503;;4;"{""processDefinitionId"":""dnepr_dms-272kr:1:1""}";;false;205;true;;BankID,EDS;503;0
926;1431;503;;4;"{""processDefinitionId"":""dnepr_dms-272ID:1:1""}";;false;205;false;;BankID,EDS;503;0
927;176;108;;4;"{""processDefinitionId"":""dnepr_dms_passport:1:1""}";;false;288;false;;BankID,EDS;108;0
928;177;108;;4;"{""processDefinitionId"":""dnepr_dms-288:1:1""}";;false;288;false;;BankID,EDS;108;0
929;179;108;;4;"{""processDefinitionId"":""dnepr_dms-835:1:1""}";;false;288;false;;BankID,EDS;108;0
930;28;108;;4;"{""processDefinitionId"":""dnepr_dms-205ID:1:1""}";;false;205;true;;BankID,EDS;108;0
931;173;108;;4;"{""processDefinitionId"":""dnepr_dms-227ID:1:1""}";;false;205;true;;BankID,EDS;108;0
932;174;108;;4;"{""processDefinitionId"":""demo_1:1:1""}";;false;205;true;;BankID,EDS;108;0
933;175;108;;4;"{""processDefinitionId"":""dnepr_dms-257ID:1:1""}";;false;205;true;;BankID,EDS;108;0
934;25;108;;4;"{""processDefinitionId"":""dnepr_dms-280ID:1:1""}";;false;205;true;;BankID,EDS;108;0
935;1431;108;;4;"{""processDefinitionId"":""dnepr_dms-272ID:1:1""}";;false;205;true;;BankID,EDS;108;0
936;173;480;;4;"{""processDefinitionId"":""demo_1:1:1""}";;false;225;true;;BankID,EDS;480;0
937;175;480;;4;"{""processDefinitionId"":""demo_1:1:1""}";;false;225;true;;BankID,EDS;480;0
938;1431;480;;4;"{""processDefinitionId"":""demo_1:1:1""}";;false;225;true;;BankID,EDS;480;0
939;1432;480;;4;"{""processDefinitionId"":""demo_1:1:1""}";;false;225;true;;BankID,EDS;480;0
940;25;480;;4;"{""processDefinitionId"":""demo_1:1:1""}";;false;225;true;;BankID,EDS;480;0
941;29;485;;4;"{""processDefinitionId"":""demo_1:1:1""}";;false;225;true;;BankID,EDS;485;0
